time,{dmodel}.dmodel.state,{dmodel}.dmodel.d_model_event,{dmodel}.dmodel.d_model_event_args_0,{dmodel}.dmodel.d_model_event_args_1,{dmodel}.dmodel.d_model_event_args_2,{dmodel}.dmodel.d_model_event_args_3,{mapping}.mapping.controller_event,{mapping}.mapping.j0,{mapping}.mapping.j1,{mapping}.mapping.j2,{mapping}.mapping.j3,{mapping}.mapping.j4,{mapping}.mapping.j5,{mapping}.mapping.qd0,{mapping}.mapping.qd1,{mapping}.mapping.qd2,{mapping}.mapping.qd3,{mapping}.mapping.qd4,{mapping}.mapping.qd5,{mapping}.mapping.qdd0,{mapping}.mapping.qdd1,{mapping}.mapping.qdd2,{mapping}.mapping.qdd3,{mapping}.mapping.qdd4,{mapping}.mapping.qdd5,{mapping}.mapping.t0,{mapping}.mapping.t1,{mapping}.mapping.t2,{mapping}.mapping.t3,{mapping}.mapping.t4,{mapping}.mapping.t5,{mapping}.mapping.d_model_event,{mapping}.mapping.output_event,{mapping}.mapping.output_event_args_0,{mapping}.mapping.output_event_args_1,{mapping}.mapping.output_event_args_2,{mapping}.mapping.platform_event_0,{mapping}.mapping.platform_event_1,{mapping}.mapping.platform_event_2,{mapping}.mapping.platform_event_3,{mapping}.mapping.platform_event_4,{mapping}.mapping.platform_event_5,{mapping}.mapping.platform_event_6,{mapping}.mapping.platform_event_7,{mapping}.mapping.platform_event_8,{mapping}.mapping.platform_event_9,{controller}.controller.controller_event,{controller}.controller.controller_event_args_0,{controller}.controller.controller_event_args_1,{controller}.controller.controller_event_args_2
0.0,Idle,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,false,false,false,false,false,false,false,false,false,false,,0.0,0.0,0.0
0.5,Idle,,0.0,0.0,0.0,0.0,,-0.07674651199062632,-0.07810856946430045,0.07853737173991249,-0.07853649586631706,-0.0785376085714864,0.07853749349677885,-1.5707483472551695,-1.570746394825929,1.570754634118111,-1.5707424319630912,-1.5707549499546234,1.570749922074378,0.0,0.0,0.0,0.0,0.0,0.0,151.68278259514275,124.8221424661245,71.4564055554666,62.78970402190765,0.028999574229039836,-0.24347335304436188,,,0.0,0.0,0.0,false,false,false,false,false,true,false,false,false,false,,0.0,0.0,0.0
1.0,Idle,,0.0,0.0,0.0,0.0,,-0.6265081311709739,-0.706408894971136,0.7068405311693557,-0.7068354186693249,-0.706841236160499,0.7068389949619664,-1.570746656112386,-1.5707522320928633,1.5707580703433686,-1.5707497486616249,-1.5707615643299797,1.570761254894658,0.0,0.0,0.0,0.0,0.0,0.0,6.027875079266328,13.86589711627767,2.002339790476252,-2.801179598663087,0.4373968120174328,-4.124382777456715,,,0.0,0.0,0.0,false,false,false,false,false,true,false,false,false,false,,0.0,0.0,0.0
1.5,Idle,,0.0,0.0,0.0,0.0,,-1.176269491355292,-1.177634871818391,1.1780679522724649,-1.1780606305816193,-1.1780700644379474,1.1780680676030348,-1.570747017719397,-1.5707541834940373,1.5707580703466548,-1.5707520427357111,-1.5707648195897748,1.570766282609347,0.0,0.0,0.0,0.0,0.0,0.0,5.049085074235299,10.423143958106639,1.753880024530329,-2.9696652628299693,1.501397317011427,-3.9280678098876,,,0.0,0.0,0.0,false,false,false,false,false,true,false,false,false,false,moveDiscreteCommand,0.0,1.0,2.0
2.0,Idle,,0.0,0.0,0.0,0.0,moveDiscreteCommand,-1.5923920220363774,-1.6153386772954077,1.6492951543622079,-1.649289282574875,-1.561243644070755,1.6492972428413593,-0.3615451056488161,-0.5372782701995263,1.5707514618354403,-1.5707814305314096,-0.0740180248786986,1.5707302828913308,0.0,0.0,0.0,0.0,0.0,0.0,-21.012079040636753,-28.214369757208054,-23.66689677576148,-20.68981735364846,-6.4020347779455165,-0.12449428295137147,,moveDiscreteCommand,0.0,1.0,2.0,true,false,false,false,false,true,false,false,false,false,,0.0,0.0,0.0
2.5,ArmMove,movediscrete,0.0,1.0,2.0,0.0,,-1.6085756731304306,-1.6393901787077505,1.8720009679566738,-1.8050376962409018,-1.5707791278563832,2.120494781271737,-6.73068096901389E-4,-9.386928104149406E-4,0.022584988110275133,-0.008909767855769435,-3.697132516578073E-4,1.5705646215110727,0.0,0.0,0.0,0.0,0.0,0.0,-0.19028275751888596,10.906491922634853,7.386341931339518,1.6066848237250404,0.004008395501860676,-8.748028228491197,,,0.0,0.0,0.0,false,false,false,false,false,true,false,true,false,false,,0.0,0.0,0.0
3.0,ArmMove,movediscrete,0.0,1.0,2.0,0.0,,-1.6086607394395687,-1.6395150249274932,1.8749157580558684,-1.806196623971024,-1.5707963416130282,3.1037273461928274,0.03703475234626631,0.6896813014558281,-0.24990109742600275,7.298927087617969E-4,-1.2002683291712203E-7,1.9405711384479633E-4,0.0,0.0,0.0,0.0,0.0,0.0,-0.531252875804053,10.675278063270499,5.027243610562495,0.18102956698502334,6.2785508541696E-5,-0.4135253555621605,movediscrete,,0.0,0.0,0.0,false,false,false,true,true,true,false,false,false,false,,0.0,0.0,0.0
3.5,ArmStop,stop,0.0,1.0,2.0,0.0,,-1.603873148366385,-1.4731674203420022,1.705747697999314,-1.8033752301581645,-1.5707963401082568,3.1085158404118642,1.8412723790107003E-6,1.4099165390746593E-5,1.7763568394002883E-13,2.3203376287029227E-5,2.3266721882464977E-9,2.600729409607594E-6,0.0,0.0,0.0,0.0,0.0,0.0,1.4353340579664575,10.54526302910087,5.0266394140364685,0.1602573789475764,8.724805884016107E-5,-0.41019049192760876,movediscrete,,0.0,0.0,0.0,false,false,false,true,true,true,false,false,false,false,,0.0,0.0,0.0
4.0,ArmStop,stop,0.0,1.0,2.0,0.0,,-1.6038731687210435,-1.4731667382242923,1.705747697999314,-1.8033754893867018,-1.5707963406514338,3.1085158495560323,9.159785818724426E-7,3.920704241267087E-5,1.7763568394002883E-13,6.885071073270556E-5,-1.0124168170478003E-8,3.074308985162654E-6,0.0,0.0,0.0,0.0,0.0,0.0,0.36762050772200916,10.539863068107172,5.027165388120557,0.17103538029386686,1.1666536632696966E-4,-0.40952294118625865,stop,,0.0,0.0,0.0,false,false,false,true,true,true,false,false,false,false,,0.0,0.0,0.0
4.5,ArmStop,stop,0.0,1.0,2.0,0.0,,-1.6038731365235597,-1.4731660946992298,1.705747697999314,-1.8033762746553919,-1.5707963406336516,3.10851581407623,-7.291223624861387E-7,7.255208753775987E-5,0.0,1.0807107972965699E-4,1.7532109097829026E-8,-1.7402138396957533E-6,0.0,0.0,0.0,0.0,0.0,0.0,-0.48873783265027326,10.544770642784773,5.038460173013286,0.17693574879371254,6.18201540543721E-5,-0.4287585751920046,stop,,0.0,0.0,0.0,false,false,false,true,true,true,false,false,false,false,,0.0,0.0,0.0
