time,{dmodel}.dmodel.movediscrete,{dmodel}.dmodel.pick,{dmodel}.dmodel.place,{dmodel}.dmodel.target_X,{dmodel}.dmodel.target_Y,{dmodel}.dmodel.target_Z,{dmodel}.dmodel.closing_diameter,{dmodel}.dmodel.closing_speed,{dmodel}.dmodel.closing_force,{dmodel}.dmodel.opening_diameter,{dmodel}.dmodel.opening_speed,{dmodel}.dmodel.opening_force,{dmodel}.dmodel.stop,{dmodel}.dmodel.movejoint,{dmodel}.dmodel.target_q0,{dmodel}.dmodel.target_q1,{dmodel}.dmodel.target_q2,{dmodel}.dmodel.target_q3,{dmodel}.dmodel.target_q4,{dmodel}.dmodel.target_q5,{dmodel}.dmodel.movecartesian,{dmodel}.dmodel.target_x,{dmodel}.dmodel.target_y,{dmodel}.dmodel.target_z,{dmodel}.dmodel.target_rx,{dmodel}.dmodel.target_ry,{dmodel}.dmodel.target_rz,{dmodel}.dmodel.setvelocity,{dmodel}.dmodel.target_v,{dmodel}.dmodel.state,{mapping}.mapping.feasibleMoveDiscreteCommand,{mapping}.mapping.robotStopped,{mapping}.mapping.gripperOpened,{mapping}.mapping.collision,{mapping}.mapping.gripperClosed,{mapping}.mapping.nonfeasibleMoveDiscreteCommand,{mapping}.mapping.moveCompleted,{mapping}.mapping.q0,{mapping}.mapping.q1,{mapping}.mapping.q2,{mapping}.mapping.q3,{mapping}.mapping.q4,{mapping}.mapping.q5,{mapping}.mapping.qd0,{mapping}.mapping.qd1,{mapping}.mapping.qd2,{mapping}.mapping.qd3,{mapping}.mapping.qd4,{mapping}.mapping.qd5,{mapping}.mapping.qdd0,{mapping}.mapping.qdd1,{mapping}.mapping.qdd2,{mapping}.mapping.qdd3,{mapping}.mapping.qdd4,{mapping}.mapping.qdd5,{mapping}.mapping.t0,{mapping}.mapping.t1,{mapping}.mapping.t2,{mapping}.mapping.t3,{mapping}.mapping.t4,{mapping}.mapping.t5,{rmqfmu}.rmqfmu.closeGripperCommand,{rmqfmu}.rmqfmu.openGripperCommand,{rmqfmu}.rmqfmu.moveDiscreteCommand,{rmqfmu}.rmqfmu.MovementArgs_target_X,{rmqfmu}.rmqfmu.MovementArgs_target_Y,{rmqfmu}.rmqfmu.MovementArgs_target_Z
6.0,true,false,false,0,1,2,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmStop,true,true,true,false,false,false,true,-1.60387316545913,-1.4731672076753286,1.705747697999314,-1.8033762870263272,-1.5707963399389673,3.108515831208144,-1.3223434791596199E-6,-3.2532907390242974E-5,0.0,-4.602824503762539E-5,-5.5521276465233726E-8,-2.902239870649738E-6,0.0,0.0,0.0,0.0,0.0,0.0,-0.807390596750498,10.538574847645865,5.028539034399464,0.1746156670136228,7.366197443823659E-5,-0.42279992210813466,false,false,false,0,0,0
6.5,true,false,false,0,1,2,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmStop,true,true,true,false,false,false,true,-1.6038731664314518,-1.473167176351244,1.705747697999314,-1.803376370614501,-1.5707963387681767,3.1085158294562634,2.627269068966187E-7,-7.383848945606797E-5,0.0,-1.7067610524887475E-4,1.2976606456047894E-7,-2.377048780033048E-6,0.0,0.0,0.0,0.0,0.0,0.0,0.2991962029498284,10.552875939681844,5.052071927671928,0.1914811434802905,1.2909566418365035E-4,-0.40511671849539255,false,false,true,3,2,3
7.0,true,false,false,3,2,3,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmMove,true,true,true,false,false,false,true,-1.6038730938733279,-1.47316658328086,1.705747697999314,-1.8033746360128964,-1.5707963418121853,3.1085158640322037,4.086853522267933E-7,1.8411874336269672E-5,-1.776356839400604E-13,2.8005602992214903E-5,3.2985525422197695E-8,2.8103503524340473E-6,0.0,0.0,0.0,0.0,0.0,0.0,-0.22271577483646676,10.5200320767146,5.022231401915501,0.16488746987813035,1.237225836540647E-4,-0.41615454043387123,false,false,false,0,0,0
7.5,true,false,false,3,2,3,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmStop,true,true,true,false,false,false,true,-1.6796976339227063,-1.4356893468888865,1.627210323090437,-1.7248355988907615,-1.5707963047185869,2.9514346537990024,-1.5707433534536646,0.054205920346650185,-0.27754173057440407,0.12816847618568936,-3.36598411365752E-6,-0.2896302575250552,0.0,0.0,0.0,0.0,0.0,0.0,-53.391609015261125,3.3626287977968863,-3.8680000538325814,-1.6114544170726226,0.0234823284994797,0.19865415122200897,false,false,false,0,0,0
8.0,true,false,false,3,2,3,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmStop,true,true,true,false,false,false,true,-1.9412016075007896,-1.4156274845919414,1.4502212278614213,-1.6053894825543447,-1.5707963429624723,2.7711793244661598,-2.337685600651195E-10,6.36395824926821E-8,-1.776356839400604E-13,6.0396132539620536E-12,-1.776356839400604E-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006506632163751226,11.2867932780559,5.16556318503954,0.1789826333153977,9.88340895085994E-5,-1.6095673985501193,false,false,false,0,0,0
8.5,true,false,false,3,2,3,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmStop,true,true,true,false,false,false,true,-1.9412016075002905,-1.4156274855603508,1.450221227861415,-1.6053894825543829,-1.5707963429624714,2.771179324466144,-1.691091711109375E-10,-7.471925300707548E-8,1.776356839400604E-13,-3.907985046681329E-12,1.776356839400604E-13,-1.776356839400604E-13,0.0,0.0,0.0,0.0,0.0,0.0,0.014670306720598335,11.2867956126413,5.165564951862069,0.1789839071090925,9.883404580015288E-5,-1.6095673974591453,false,false,false,0,0,0
9.0,true,false,false,3,2,3,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmStop,true,true,true,false,false,false,true,-1.9412016074933724,-1.4156274841283913,1.450221227861415,-1.6053894825543038,-1.5707963429624723,2.771179324466144,2.9309887850109964E-10,-1.011724037880614E-7,0.0,7.993605777302717E-12,-1.776356839400604E-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.942870453352212E-4,11.286792572742602,5.165562659071901,0.17898225328336229,9.883400039436177E-5,-1.6095673995569375,false,false,true,5,5,2
9.5,true,false,false,5,5,2,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmMove,true,true,true,false,false,false,true,-1.941201607495974,-1.415627484430014,1.450221227861415,-1.605389482554349,-1.5707963429624714,2.771179324466144,6.23856521997492E-10,-1.1510170594422123E-7,0.0,5.329070518201812E-12,0.0,1.776356839400604E-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0024914366816167046,11.286793347761883,5.165563238703677,0.178982670487688,9.883412712332616E-5,-1.6095673989905284,false,false,false,0,0,0
10.0,true,false,false,5,5,2,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmStop,true,false,true,false,false,false,false,-1.9834024947951043,-1.3387115488026193,1.3716837784210014,-1.529790349385725,-1.570796329521622,2.728328745403469,-0.5241948298262121,1.5707690188162997,-1.5707503625648227,0.4298673520067598,-5.442444717119716E-7,-0.17773747860804417,0.0,0.0,0.0,0.0,0.0,0.0,-29.43301927297042,60.83249436120684,53.078930397112664,48.29906052748048,0.4603177300934872,0.17063269237550854,false,false,false,0,0,0
10.5,true,false,false,5,5,2,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmStop,true,true,true,false,false,false,true,-2.0069919638230056,-0.7882698853366392,0.6917881715693932,-1.4743117367699243,-1.5707963413059964,2.7053885569061835,-1.247840586416053E-6,4.1725955401980515E-5,-3.641531520771238E-11,-1.1642587232076991E-4,6.469331736981453E-8,-4.82971529436423E-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0037663031402489834,16.376016055767337,5.136900559782441,0.17093735322494316,1.0946187886853437E-4,-7.239034364945539,false,false,false,0,0,0
