time,{dmodel}.dmodel.movediscrete,{dmodel}.dmodel.pick,{dmodel}.dmodel.place,{dmodel}.dmodel.target_X,{dmodel}.dmodel.target_Y,{dmodel}.dmodel.target_Z,{dmodel}.dmodel.closing_diameter,{dmodel}.dmodel.closing_speed,{dmodel}.dmodel.closing_force,{dmodel}.dmodel.opening_diameter,{dmodel}.dmodel.opening_speed,{dmodel}.dmodel.opening_force,{dmodel}.dmodel.stop,{dmodel}.dmodel.movejoint,{dmodel}.dmodel.target_q0,{dmodel}.dmodel.target_q1,{dmodel}.dmodel.target_q2,{dmodel}.dmodel.target_q3,{dmodel}.dmodel.target_q4,{dmodel}.dmodel.target_q5,{dmodel}.dmodel.movecartesian,{dmodel}.dmodel.target_x,{dmodel}.dmodel.target_y,{dmodel}.dmodel.target_z,{dmodel}.dmodel.target_rx,{dmodel}.dmodel.target_ry,{dmodel}.dmodel.target_rz,{dmodel}.dmodel.setvelocity,{dmodel}.dmodel.target_v,{dmodel}.dmodel.state,{mapping}.mapping.feasibleMoveDiscreteCommand,{mapping}.mapping.robotStopped,{mapping}.mapping.gripperOpened,{mapping}.mapping.collision,{mapping}.mapping.gripperClosed,{mapping}.mapping.nonfeasibleMoveDiscreteCommand,{mapping}.mapping.moveCompleted,{mapping}.mapping.q0,{mapping}.mapping.q1,{mapping}.mapping.q2,{mapping}.mapping.q3,{mapping}.mapping.q4,{mapping}.mapping.q5,{mapping}.mapping.qd0,{mapping}.mapping.qd1,{mapping}.mapping.qd2,{mapping}.mapping.qd3,{mapping}.mapping.qd4,{mapping}.mapping.qd5,{mapping}.mapping.qdd0,{mapping}.mapping.qdd1,{mapping}.mapping.qdd2,{mapping}.mapping.qdd3,{mapping}.mapping.qdd4,{mapping}.mapping.qdd5,{mapping}.mapping.t0,{mapping}.mapping.t1,{mapping}.mapping.t2,{mapping}.mapping.t3,{mapping}.mapping.t4,{mapping}.mapping.t5,{controller}.controller.closeGripperCommand,{controller}.controller.openGripperCommand,{controller}.controller.moveDiscreteCommand,{controller}.controller.MovementArgs_target_X,{controller}.controller.MovementArgs_target_Y,{controller}.controller.MovementArgs_target_Z
7.0,true,false,false,3,20,2,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmStop,true,true,true,false,false,false,false,-1.7292450815668916,-1.8187394985150922,1.7269941322124955,-2.189987031596716,-1.425654373067112,-0.14435429124083354,-1.5235197375723755,-1.6340950271203873,1.5707545411908777,0.45807173959194625,1.5788588504192074,-1.5657855465848747,0.0,0.0,0.0,0.0,0.0,0.0,847.2342098243,157.68699164584956,143.16427111208236,49.86239716832808,-4.671706840060537,-0.9727459913448616,false,false,false,0,0,0
7.5,true,false,false,3,20,2,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmStop,true,true,true,false,false,false,true,-2.288429701064185,-2.128683169686685,2.0435427913021647,-2.1305476963990158,-1.0844613318455885,-0.5570535449153877,-0.026258552881586742,-0.012805389579817745,3.943012824692089E-4,-0.006056276744281904,-0.008623255997086871,0.003917921949892017,0.0,0.0,0.0,0.0,0.0,0.0,37.22336334280136,22.011370688023767,17.779970766262608,3.4187992122077793,-3.500670064592782,1.4538550427353107,false,false,false,0,0,0
8.0,true,false,false,3,20,2,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmStop,true,true,true,false,false,false,true,-2.2930040311716704,-2.1285501576955346,2.0435604434124626,-2.1303269163374265,-1.084101813196825,-0.5571157651309129,0.006699988627900809,0.03526805193363533,7.085635189696556E-7,-0.019131512149961748,-0.00645299998662821,-0.015513410767198697,0.0,0.0,0.0,0.0,0.0,0.0,6.3323796071806395,13.444673961125678,12.632928095416219,0.8500093000942588,1.7335246681728058,-3.191928232804263,false,false,false,0,0,0
8.5,true,false,false,3,20,2,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmStop,true,true,true,false,false,false,true,-2.2930015210757473,-2.127835146082332,2.04356053485792,-2.130273654982548,-1.0841689390091362,-0.5571325375727394,-0.004322122067534998,0.014783510395233495,1.8829382497643056E-11,0.00590504713322572,0.005270902099496879,0.00833556464296965,0.0,0.0,0.0,0.0,0.0,0.0,-17.739198821611406,21.459032978890498,17.53222526904495,3.623123578255734,-4.131674530127199,-2.813975753663657,false,false,true,8,10,0
9.0,true,false,false,8,10,0,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmMove,true,true,true,false,false,false,true,-2.293131560035726,-2.1282453480912453,2.043560534858762,-2.1304083628322052,-1.0844429512157046,-0.5574029412684078,9.182135880081629E-4,0.06201687017579748,3.5527136788005767E-13,0.020841483384082427,0.0053354951974783375,0.008809634171669432,0.0,0.0,0.0,0.0,0.0,0.0,-17.72529340285662,31.103008420921498,24.865135217697965,9.350199623493953,0.03210980015264155,3.589270927137316,false,false,false,0,0,0
9.5,true,false,false,8,10,0,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmStop,true,false,true,false,false,false,false,-2.531316244756696,-1.739761080143344,1.741569460550676,-2.169864345038744,-0.8100230861144757,-0.8702020935549593,-1.505137956254675,1.4826652504220976,-0.07118219872541838,-0.0253114535070159,0.16604700349720858,-1.581782492340123,0.0,0.0,0.0,0.0,0.0,0.0,918.7155043398049,-2.836477568498513,-15.47889751358531,-20.674659904416806,-33.0876263637335,23.789424397268238,false,false,false,0,0,0
10.0,true,false,false,8,10,0,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmStop,true,true,true,false,false,false,false,-2.948743258982625,-1.2730617702256088,1.7323992894035785,-2.1697928043608297,-0.7875140579114994,-1.4154332280663997,-1.3594346783441942,0.5700156918265084,-1.2790554571038502E-4,0.005971677291681975,-4.978952754085884E-4,-0.49319035122553706,0.0,0.0,0.0,0.0,0.0,0.0,362.8748523423734,36.67052079648248,3.407826191056362,-14.533160424612541,-19.04071557341151,-7.0208595497065875,false,false,false,0,0,0
10.5,true,false,false,8,10,0,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmStop,true,true,true,false,false,false,true,-3.0753363219996546,-1.2000082107925918,1.7323827924557076,-2.1694922162438726,-0.7876345038518089,-1.4779732259982277,0.011833075652843233,-0.021138520885163353,-9.74331726410885E-9,0.004795406340107139,4.390111161711043E-4,0.003832353158016955,0.0,0.0,0.0,0.0,0.0,0.0,-56.76459207575925,49.470341454733116,29.572212998242964,14.539834458314038,4.386203889472545,5.830110152081447,false,false,false,0,0,0
11.0,true,false,false,8,10,0,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmStop,true,true,true,false,false,false,true,-3.075807513215193,-1.2009199683868728,1.7323827821151108,-2.169839917648999,-0.7873423092092189,-1.478007939068597,-0.0048334811769016545,0.03313476246961693,-1.7408297026119734E-11,-0.016127934162210842,-0.005437977586896497,-0.00872208681830108,0.0,0.0,0.0,0.0,0.0,0.0,32.47100317784348,13.568948158785952,17.829144324839547,4.674309144946799,-5.2104216168192465,0.7687959025770315,false,false,false,0,0,0
11.5,true,false,false,8,10,0,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmStop,true,true,true,false,false,false,true,-3.075754685600665,-1.2009029413362242,1.7323827821128512,-2.1698252286782536,-0.7876654568726242,-1.477995988780335,-0.004404861309125629,0.06342551105208546,0.0,0.020842763976777274,0.0020682036846683227,-0.005686052967667442,0.0,0.0,0.0,0.0,0.0,0.0,-15.915905377328206,19.471474771286868,17.838420021746195,4.55791352277605,-0.2412612606346979,-0.5396898554073737,false,false,false,0,0,0
